trip_id,trip_date,pickup_hour,vehicle_type,zone,trip_distance_km,trip_duration_min,passenger_count,base_fare,tip_amount,total_fare,payment_type,weather,traffic_level,delay_minutes,is_delayed
TRIP-00041,2024-05-18,0,Bus,Downtown,12.86,76.0,40,15.87,0.6,16.47,Cash,Clear,High,0.4,0
TRIP-00042,2024-08-14,5,RideShare,Downtown,9.27,45.1,1,37.87,3.02,40.89,Card,Fog,Low,4.5,0
TRIP-00043,2024-12-23,7,Metro,Airport,9.77,50.7,4,12.29,1.76,14.05,Card,Clear,High,5.7,1
TRIP-00044,2024-11-07,21,Taxi,Airport,2.35,7.8,1,12.2,1.51,13.71,Card,Clear,Low,6.9,1
TRIP-00045,2024-12-16,23,RideShare,Downtown,15.86,58.5,1,60.78,4.55,65.33,Card,Rain,Medium,5.4,1
TRIP-00046,2024-06-20,8,RideShare,Coastal,8.45,42.1,1,31.69,0.55,32.24,Card,Heat,Medium,1.3,0
TRIP-00047,2024-02-18,8,Bus,Downtown,9.11,41.0,11,9.38,2.23,11.61,Card,Clear,High,7.5,1
TRIP-00048,2024-08-11,6,Taxi,Industrial,21.53,53.0,2,76.73,3.57,80.29,Card,Clear,Low,6.5,1
TRIP-00049,2024-09-12,20,Metro,Downtown,12.89,62.7,4,12.71,3.39,16.1,Mobile,Rain,Low,8.9,1
TRIP-00050,2024-06-05,3,Taxi,Coastal,7.4,34.0,1,33.71,3.2,36.91,Card,Heat,Medium,0.4,0
TRIP-00051,2024-06-17,23,Taxi,Downtown,3.32,10.9,2,16.32,0.47,16.79,Cash,Fog,Low,8.6,1
TRIP-00052,2024-07-17,13,Taxi,Airport,8.48,37.1,3,49.54,0.12,49.66,Cash,Fog,Medium,11.2,1
TRIP-00053,2024-10-15,9,Metro,Suburb,13.69,68.8,4,11.06,2.26,13.32,Card,Clear,High,1.4,0
TRIP-00054,2024-05-25,18,Metro,Downtown,9.27,43.0,3,8.58,1.64,10.22,Card,Rain,Low,6.2,1
TRIP-00055,2024-11-22,11,Metro,Industrial,17.46,89.7,4,14.02,0.66,14.67,Mobile,Heat,High,4.1,0
TRIP-00056,2024-09-21,4,Metro,Downtown,11.77,36.6,2,12.29,0.9,13.19,Cash,Heat,Low,0.0,0
TRIP-00057,2024-12-14,19,Bus,Suburb,22.26,120.0,11,22.6,0.08,22.69,Cash,Fog,High,4.9,0
TRIP-00058,2024-07-24,11,Bus,Suburb,6.67,51.1,11,9.47,2.12,11.58,Card,Fog,High,6.5,1
TRIP-00059,2024-09-28,18,Taxi,Suburb,8.48,20.8,2,33.05,4.28,37.33,Card,Heat,Medium,0.7,0
TRIP-00060,2024-03-19,21,Taxi,Downtown,9.15,48.0,2,44.05,1.16,45.21,Mobile,Clear,High,4.9,0
TRIP-00061,2024-03-08,2,Metro,Downtown,13.79,45.0,1,12.03,1.82,13.85,Mobile,Clear,High,2.1,0
TRIP-00062,2024-12-10,17,Bus,Downtown,7.88,21.5,33,8.08,2.16,10.23,Card,Heat,Low,2.1,0
TRIP-00063,2024-09-06,18,Bus,Airport,6.03,21.7,18,7.79,3.34,11.13,Mobile,Clear,Low,1.3,0
TRIP-00064,2024-05-03,5,Metro,Downtown,12.58,45.8,1,12.48,0.86,13.34,Cash,Clear,Low,1.4,0
TRIP-00065,2024-11-09,1,Metro,Coastal,11.47,50.1,3,10.63,4.33,14.96,Card,Clear,Medium,2.8,0
TRIP-00066,2024-08-30,9,Bus,Suburb,12.92,53.6,22,13.19,3.38,16.57,Mobile,Rain,Medium,6.7,1
TRIP-00067,2024-04-16,7,Bus,Suburb,19.03,97.9,40,21.32,2.43,23.76,Card,Fog,Medium,3.8,0
TRIP-00068,2024-06-07,2,Taxi,Airport,7.34,30.9,1,41.5,1.2,42.71,Mobile,Fog,Medium,9.1,1
TRIP-00069,2024-10-05,2,Taxi,Downtown,4.51,12.3,2,21.57,3.46,25.04,Card,Clear,Medium,0.2,0
TRIP-00070,2024-12-22,1,Bus,Suburb,13.35,40.3,37,13.33,0.31,13.64,Cash,Clear,Low,4.0,0
TRIP-00071,2024-12-21,21,Taxi,Downtown,3.66,8.7,3,18.52,1.13,19.65,Card,Clear,Low,0.3,0
TRIP-00072,2024-08-15,16,Bus,Airport,7.55,38.8,26,12.17,2.74,14.91,Mobile,Heat,High,0.2,0
TRIP-00073,2024-09-06,0,RideShare,Suburb,8.59,30.4,3,27.76,0.87,28.62,Card,Clear,Medium,8.3,1
TRIP-00074,2024-05-21,2,Taxi,Suburb,2.33,7.7,1,10.25,3.43,13.68,Mobile,Rain,Medium,10.0,1
TRIP-00075,2024-09-29,16,Taxi,Coastal,5.93,21.3,1,27.07,0.44,27.52,Cash,Rain,Low,7.2,1
TRIP-00076,2024-07-19,15,Taxi,Downtown,2.29,13.4,3,11.89,0.49,12.39,Card,Rain,High,4.1,0
TRIP-00077,2024-09-19,8,Taxi,Suburb,5.86,20.2,2,22.22,0.46,22.68,Card,Rain,Low,3.9,0
TRIP-00078,2024-12-16,21,Metro,Downtown,16.92,54.1,3,17.75,0.9,18.65,Cash,Rain,Medium,4.2,0
TRIP-00079,2024-12-22,8,Bus,Airport,6.11,29.6,26,8.74,1.87,10.61,Card,Rain,Low,3.8,0
TRIP-00080,2024-09-05,2,Metro,Industrial,6.91,26.6,2,3.76,0.71,4.47,Card,Clear,Low,0.7,0
TRIP-00081,2024-09-09,10,Metro,Downtown,10.94,30.1,5,10.15,2.44,12.58,Card,Clear,Medium,1.3,0
TRIP-00082,2024-05-29,5,Bus,Suburb,16.87,58.0,12,17.62,1.28,18.9,Card,Clear,Medium,2.4,0
TRIP-00083,2024-02-29,3,RideShare,Airport,14.14,45.0,2,69.51,1.29,70.8,Cash,Clear,Medium,2.5,0
TRIP-00084,2024-05-13,1,Taxi,Downtown,4.62,23.9,1,20.32,2.76,23.08,Mobile,Fog,Low,7.8,1
TRIP-00085,2024-07-03,20,Taxi,Coastal,2.22,12.2,3,11.85,3.58,15.42,Card,Clear,High,3.0,0
TRIP-00086,2024-03-17,14,Taxi,Airport,14.45,67.4,1,80.43,3.74,84.16,Mobile,Fog,Medium,6.4,1
TRIP-00087,2024-03-16,8,Metro,Industrial,7.52,26.2,4,6.0,4.84,10.85,Card,Clear,High,2.4,0
TRIP-00088,2024-05-24,6,Bus,Airport,4.56,13.3,16,6.15,0.05,6.2,Mobile,Fog,Low,2.7,0
TRIP-00089,2024-05-08,2,Taxi,Coastal,15.16,70.1,2,67.15,0.68,67.83,Cash,Clear,Medium,0.6,0
TRIP-00090,2024-12-20,14,Bus,Downtown,14.27,48.1,40,15.39,0.46,15.85,Card,Clear,Medium,1.6,0
TRIP-00091,2024-03-20,17,Taxi,Airport,9.58,28.9,3,51.79,3.05,54.84,Card,Clear,High,2.5,0
TRIP-00092,2024-09-22,18,Metro,Industrial,6.59,26.5,3,4.13,1.05,5.18,Cash,Rain,Medium,1.5,0
TRIP-00093,2024-12-03,15,Bus,Airport,14.98,57.0,21,23.26,1.21,24.47,Cash,Clear,Medium,1.8,0
TRIP-00094,2024-09-08,8,Bus,Airport,11.18,35.7,10,16.89,4.91,21.8,Card,Fog,Low,10.8,1
TRIP-00095,2024-10-17,12,Taxi,Coastal,7.19,24.6,2,29.68,0.79,30.46,Mobile,Rain,Low,2.5,0
TRIP-00096,2024-07-22,3,Metro,Suburb,12.72,35.1,3,11.75,2.88,14.63,Card,Heat,Low,1.8,0
TRIP-00097,2024-06-16,2,Bus,Suburb,16.18,84.1,20,16.35,1.19,17.54,Cash,Rain,High,15.5,1
TRIP-00098,2024-10-27,1,Taxi,Suburb,13.03,64.2,3,50.39,1.74,52.14,Mobile,Rain,Low,8.5,1
TRIP-00099,2024-05-26,0,Taxi,Industrial,8.59,31.5,3,30.15,1.88,32.03,Cash,Fog,Low,7.3,1
TRIP-00100,2024-12-28,14,RideShare,Coastal,19.56,84.0,2,71.24,4.35,75.6,Card,Clear,Medium,1.9,0
TRIP-00101,2024-10-12,3,RideShare,Suburb,5.15,13.5,3,18.93,0.88,19.8,Mobile,Rain,Low,2.2,0
TRIP-00102,2024-11-30,1,Metro,Downtown,7.37,42.3,5,7.04,1.41,8.46,Mobile,Clear,High,0.4,0
TRIP-00103,2024-05-27,18,Taxi,Downtown,7.3,29.5,2,35.2,3.26,38.46,Mobile,Rain,Medium,2.4,0
TRIP-00104,2024-03-07,16,RideShare,Suburb,4.71,20.1,3,14.69,2.19,16.88,Mobile,Clear,High,20.6,1
TRIP-00105,2024-05-04,13,Metro,Industrial,17.37,64.2,5,13.43,2.22,15.64,Card,Clear,Medium,1.2,0
TRIP-00106,2024-09-25,1,Metro,Suburb,10.04,35.9,2,5.69,1.32,7.01,Card,Rain,Medium,4.9,0
TRIP-00107,2024-03-07,21,Bus,Downtown,22.36,96.2,23,25.81,4.68,30.49,Card,Clear,Medium,0.5,0
TRIP-00108,2024-07-15,6,Taxi,Downtown,5.03,21.4,2,25.48,0.66,26.14,Mobile,Clear,Medium,0.1,0
TRIP-00109,2024-12-12,9,Taxi,Suburb,3.97,11.1,3,16.33,2.61,18.94,Mobile,Clear,Medium,2.4,0
TRIP-00110,2024-08-03,19,RideShare,Industrial,12.4,44.5,2,39.71,4.72,44.43,Card,Fog,Low,5.2,1
TRIP-00111,2024-09-13,0,Bus,Downtown,15.8,54.6,14,19.85,0.43,20.29,Card,Clear,High,0.5,0
TRIP-00112,2024-07-18,19,Taxi,Suburb,15.03,33.3,2,57.18,3.72,60.9,Card,Clear,Medium,0.8,0
TRIP-00113,2024-05-18,4,Taxi,Industrial,19.73,61.5,1,71.87,3.21,75.08,Card,Heat,Medium,4.0,0
TRIP-00114,2024-11-29,6,Bus,Coastal,9.9,38.0,22,12.81,0.02,12.84,Mobile,Heat,Medium,0.3,0
TRIP-00115,2024-02-29,22,Taxi,Downtown,3.83,16.0,2,18.16,1.69,19.85,Cash,Clear,Medium,2.1,0
TRIP-00116,2024-07-16,11,RideShare,Coastal,24.07,112.4,1,91.14,4.19,95.33,Card,Clear,Medium,0.1,0
TRIP-00117,2024-01-28,13,Metro,Suburb,11.94,39.4,4,11.11,2.25,13.35,Mobile,Clear,Medium,3.5,0
TRIP-00118,2024-02-04,14,Metro,Industrial,19.25,40.2,1,13.18,3.92,17.1,Card,Heat,Low,2.9,0
TRIP-00119,2024-04-25,17,Bus,Downtown,23.58,91.7,31,28.08,3.02,31.11,Card,Clear,Medium,1.9,0
TRIP-00120,2024-10-21,13,Metro,Suburb,9.61,23.7,3,5.69,0.96,6.65,Card,Clear,Low,4.5,0
TRIP-00121,2024-07-12,21,Bus,Suburb,21.93,109.5,11,20.29,1.03,21.32,Cash,Clear,High,0.7,0
TRIP-00122,2024-05-06,21,Metro,Airport,8.71,33.8,4,10.9,3.47,14.37,Card,Rain,Medium,8.5,1
TRIP-00123,2024-08-29,17,Taxi,Airport,2.24,8.8,2,13.83,1.5,15.34,Cash,Clear,High,1.2,0
TRIP-00124,2024-01-20,12,Bus,Suburb,16.49,58.9,5,19.06,1.44,20.5,Cash,Fog,Medium,6.2,1
TRIP-00125,2024-06-09,9,Taxi,Suburb,7.28,30.4,3,27.35,1.25,28.6,Cash,Clear,High,1.7,0
TRIP-00126,2024-06-03,14,Bus,Downtown,6.16,25.4,25,6.84,3.71,10.56,Card,Rain,High,5.6,1
TRIP-00127,2024-10-04,16,Taxi,Airport,7.76,33.8,1,43.88,0.17,44.04,Cash,Fog,Low,19.6,1
TRIP-00128,2024-10-25,16,Taxi,Downtown,4.71,15.2,1,22.13,2.13,24.27,Mobile,Clear,Medium,0.6,0
TRIP-00129,2024-11-14,18,Taxi,Coastal,4.61,16.9,3,23.02,0.63,23.65,Cash,Clear,Low,2.3,0
TRIP-00130,2024-07-04,9,Bus,Coastal,18.09,60.5,7,20.91,1.69,22.6,Card,Clear,Low,11.9,1
TRIP-00131,2024-05-06,23,Taxi,Downtown,9.62,32.2,1,42.8,1.9,44.7,Mobile,Fog,Medium,6.7,1
TRIP-00132,2024-01-19,20,RideShare,Downtown,26.57,80.6,1,105.8,0.57,106.37,Cash,Clear,Medium,1.0,0
TRIP-00133,2024-04-29,21,Bus,Downtown,14.51,108.2,21,17.68,4.01,21.69,Card,Fog,High,4.8,0
TRIP-00134,2024-12-11,3,Taxi,Suburb,18.92,56.1,3,71.48,2.57,74.04,Mobile,Clear,Low,6.0,1
TRIP-00135,2024-12-29,21,Bus,Coastal,14.93,42.8,28,16.84,2.29,19.13,Card,Rain,Medium,4.6,0
TRIP-00136,2024-10-23,17,Taxi,Suburb,7.77,31.1,3,32.48,2.52,35.0,Card,Rain,Low,2.2,0
TRIP-00137,2024-03-26,18,RideShare,Downtown,8.04,22.4,2,31.07,4.81,35.89,Card,Clear,Low,0.0,0
TRIP-00138,2024-04-09,3,Bus,Downtown,19.96,61.3,22,21.85,3.24,25.09,Card,Clear,Low,3.3,0
TRIP-00139,2024-09-21,19,Metro,Downtown,11.95,39.2,1,10.93,4.8,15.73,Card,Fog,Medium,4.2,0
TRIP-00140,2024-09-19,5,Taxi,Industrial,12.06,26.9,1,42.31,1.58,43.89,Cash,Clear,Medium,0.1,0
TRIP-00141,2024-01-06,16,Bus,Suburb,30.88,118.9,35,28.67,0.85,29.52,Cash,Rain,Low,2.5,0
TRIP-00142,2024-12-18,19,Bus,Suburb,3.64,11.5,21,3.33,2.44,5.77,Mobile,Heat,Low,0.4,0
TRIP-00143,2024-06-02,0,RideShare,Airport,11.72,38.1,1,59.36,1.38,60.74,Card,Clear,Medium,0.7,0
TRIP-00144,2024-03-10,15,Bus,Coastal,7.7,47.8,30,6.99,1.0,8.0,Cash,Clear,High,1.7,0
TRIP-00145,2024-06-13,19,Bus,Airport,23.27,60.3,12,32.47,2.48,34.95,Card,Clear,Low,3.7,0
TRIP-00146,2024-12-03,15,Taxi,Industrial,9.96,37.1,3,36.68,1.06,37.74,Mobile,Clear,Medium,1.0,0
TRIP-00147,2024-07-29,23,Taxi,Coastal,14.12,64.5,3,61.95,1.14,63.09,Cash,Heat,Medium,0.4,0
TRIP-00148,2024-03-09,8,Bus,Suburb,14.1,50.1,39,13.39,0.57,13.96,Cash,Heat,Medium,7.5,1
TRIP-00149,2024-08-19,16,Bus,Coastal,29.65,111.0,16,35.87,2.27,38.14,Card,Clear,Low,0.0,0
TRIP-00150,2024-03-28,22,Taxi,Downtown,7.6,39.4,3,34.29,4.18,38.47,Card,Heat,High,4.7,0
TRIP-00151,2024-09-23,7,RideShare,Suburb,6.84,21.3,1,19.8,3.2,23.0,Card,Clear,Medium,0.4,0
TRIP-00152,2024-06-14,7,RideShare,Downtown,7.35,35.2,3,30.31,2.53,32.84,Mobile,Heat,Medium,1.4,0
TRIP-00153,2024-03-01,15,Taxi,Suburb,3.54,18.3,3,13.3,1.6,14.9,Cash,Fog,High,21.5,1
TRIP-00154,2024-01-05,3,Bus,Downtown,8.54,39.1,43,10.16,3.21,13.37,Card,Clear,High,5.4,1
TRIP-00155,2024-06-16,22,Taxi,Downtown,7.37,32.9,2,31.13,3.56,34.69,Card,Rain,Medium,6.7,1
TRIP-00156,2024-06-29,8,Metro,Downtown,12.0,72.8,2,10.38,0.4,10.78,Card,Fog,High,11.6,1
TRIP-00157,2024-02-28,1,Taxi,Airport,8.0,25.4,2,45.03,3.97,49.01,Card,Clear,Low,1.9,0
TRIP-00158,2024-04-23,3,Metro,Suburb,16.09,86.7,2,11.43,3.07,14.5,Mobile,Clear,High,0.1,0
TRIP-00159,2024-02-07,19,Metro,Suburb,6.07,27.9,2,6.35,2.36,8.71,Card,Rain,Medium,9.0,1
TRIP-00160,2024-01-25,23,Metro,Airport,8.56,41.3,5,10.31,2.03,12.34,Card,Clear,High,6.5,1
TRIP-00161,2024-06-23,8,Taxi,Coastal,5.47,19.2,3,23.77,1.93,25.69,Cash,Clear,Medium,0.7,0
TRIP-00162,2024-06-25,22,RideShare,Coastal,6.47,15.3,1,25.93,1.06,26.99,Card,Clear,Low,0.1,0
TRIP-00163,2024-04-24,13,Taxi,Downtown,8.58,39.9,1,38.75,0.59,39.33,Card,Rain,Medium,5.2,1
TRIP-00164,2024-07-09,18,Taxi,Airport,3.31,21.3,3,19.33,4.64,23.97,Card,Clear,High,0.2,0
TRIP-00165,2024-03-09,12,Bus,Suburb,20.49,60.6,21,20.29,1.11,21.4,Cash,Clear,Medium,0.0,0
TRIP-00166,2024-10-26,17,Bus,Industrial,8.02,29.5,11,8.76,3.55,12.31,Mobile,Clear,High,11.2,1
TRIP-00167,2024-05-12,20,RideShare,Airport,6.04,25.2,1,30.0,0.22,30.23,Mobile,Clear,Low,4.8,0
TRIP-00168,2024-12-29,2,RideShare,Industrial,7.3,24.7,3,23.27,1.74,25.02,Mobile,Rain,Low,5.9,1
TRIP-00169,2024-01-31,4,Taxi,Downtown,8.89,35.6,1,40.32,0.21,40.54,Mobile,Clear,Medium,1.7,0
TRIP-00170,2024-11-27,9,RideShare,Airport,4.93,19.4,3,23.13,1.42,24.55,Cash,Rain,Medium,7.1,1
TRIP-00171,2024-03-03,1,Taxi,Industrial,5.31,19.5,1,18.84,0.1,18.94,Card,Clear,Medium,0.6,0
TRIP-00172,2024-03-07,7,Bus,Suburb,30.73,120.0,15,31.35,1.06,32.42,Card,Rain,High,4.9,0
TRIP-00173,2024-06-12,19,Taxi,Industrial,2.22,9.3,2,8.51,0.79,9.29,Mobile,Clear,Medium,0.5,0
TRIP-00174,2024-11-10,2,RideShare,Downtown,3.17,13.3,3,13.71,0.43,14.15,Cash,Fog,Medium,6.1,1
TRIP-00175,2024-09-20,17,Taxi,Downtown,4.17,14.4,3,17.99,3.32,21.31,Card,Clear,Medium,0.2,0
TRIP-00176,2024-09-28,20,Taxi,Downtown,3.85,20.0,3,15.79,2.67,18.46,Card,Heat,High,9.0,1
TRIP-00177,2024-03-09,21,Bus,Downtown,12.76,59.2,16,14.73,1.67,16.4,Cash,Clear,Medium,2.1,0
TRIP-00178,2024-10-27,22,RideShare,Downtown,6.27,36.6,1,23.84,3.66,27.5,Card,Clear,High,6.7,1
TRIP-00179,2024-08-12,14,RideShare,Suburb,13.22,35.8,1,41.42,1.07,42.48,Card,Rain,Medium,5.3,1
TRIP-00180,2024-04-04,16,Metro,Suburb,10.47,32.8,1,8.17,0.41,8.58,Card,Clear,Medium,4.2,0
TRIP-00181,2024-09-27,12,RideShare,Suburb,12.49,29.2,1,38.56,2.07,40.63,Mobile,Clear,Low,3.3,0
TRIP-00182,2024-09-23,4,RideShare,Airport,3.66,20.1,1,16.97,4.54,21.51,Card,Fog,Medium,8.1,1
TRIP-00183,2024-07-30,21,Bus,Downtown,11.93,54.9,31,12.99,4.36,17.35,Card,Fog,High,7.3,1
TRIP-00184,2024-09-06,20,Taxi,Suburb,4.57,29.8,3,15.54,1.27,16.81,Cash,Rain,High,6.3,1
TRIP-00185,2024-12-28,15,Metro,Downtown,9.37,33.6,2,7.43,1.0,8.43,Cash,Heat,Low,0.4,0
TRIP-00186,2024-07-02,17,Metro,Coastal,13.76,77.9,3,11.54,1.26,12.79,Cash,Clear,High,1.7,0
TRIP-00187,2024-08-01,15,Bus,Downtown,17.94,63.6,43,22.48,0.33,22.8,Card,Clear,Low,1.0,0
TRIP-00188,2024-10-31,2,Taxi,Suburb,12.16,43.0,2,45.52,2.72,48.25,Card,Fog,Medium,12.4,1
TRIP-00189,2024-09-25,5,Metro,Coastal,8.65,30.2,5,8.34,3.46,11.8,Card,Clear,Medium,4.4,0
TRIP-00190,2024-04-11,16,Taxi,Suburb,4.76,12.6,2,17.68,1.37,19.05,Card,Clear,Medium,1.1,0
TRIP-00191,2024-08-21,4,RideShare,Suburb,5.73,16.0,1,19.51,1.43,20.93,Mobile,Clear,Medium,5.5,1
TRIP-00192,2024-05-26,2,Taxi,Suburb,9.57,24.1,1,36.92,0.15,37.08,Cash,Clear,Medium,2.7,0
TRIP-00193,2024-10-18,11,Taxi,Downtown,1.64,7.4,1,8.39,4.49,12.88,Card,Clear,Medium,0.9,0
TRIP-00194,2024-05-26,8,RideShare,Suburb,5.85,17.2,3,18.67,2.8,21.47,Card,Clear,Medium,2.7,0
TRIP-00195,2024-10-10,11,Taxi,Coastal,4.31,12.6,3,18.97,1.37,20.34,Cash,Rain,Medium,6.0,1
TRIP-00196,2024-07-27,0,Taxi,Coastal,6.03,20.5,1,24.83,0.99,25.83,Mobile,Fog,Medium,4.8,0
TRIP-00197,2024-04-29,15,Bus,Airport,15.16,45.9,8,21.46,0.54,22.0,Cash,Heat,Medium,0.9,0
TRIP-00198,2024-01-11,18,RideShare,Airport,3.41,7.7,1,17.65,4.75,22.4,Card,Clear,Low,1.6,0
TRIP-00199,2024-04-11,5,Taxi,Industrial,11.39,45.7,3,39.82,2.35,42.17,Card,Clear,Medium,3.2,0
TRIP-00200,2024-06-21,13,Taxi,Suburb,1.7,7.7,3,6.05,0.26,6.3,Mobile,Rain,Medium,4.1,0
TRIP-00201,2024-02-06,3,Metro,Downtown,6.03,20.2,5,6.86,1.61,8.48,Card,Clear,Low,6.3,1
TRIP-00202,2024-02-04,10,RideShare,Downtown,7.96,31.9,1,31.87,1.81,33.68,Mobile,Clear,Low,1.7,0
TRIP-00203,2024-11-02,23,Bus,Downtown,21.95,79.7,19,26.56,1.32,27.89,Card,Rain,High,4.7,0
TRIP-00204,2024-02-07,19,Taxi,Suburb,7.04,43.1,2,26.26,4.71,30.96,Card,Fog,High,3.8,0
TRIP-00205,2024-04-01,2,Taxi,Downtown,2.81,10.5,2,14.2,2.64,16.84,Card,Clear,Medium,0.0,0
TRIP-00206,2024-10-06,19,Taxi,Downtown,6.5,41.0,2,29.03,3.03,32.06,Card,Rain,High,6.0,1
TRIP-00207,2024-06-01,15,Taxi,Downtown,9.42,44.5,1,43.98,0.34,44.33,Card,Rain,High,4.8,0
TRIP-00208,2024-04-29,14,Metro,Coastal,4.43,15.4,3,3.75,4.41,8.17,Card,Heat,Medium,2.8,0
TRIP-00209,2024-03-24,23,Taxi,Downtown,6.63,18.4,2,31.41,0.4,31.81,Card,Clear,Low,0.7,0
TRIP-00210,2024-03-04,0,Bus,Downtown,6.87,26.5,18,9.24,2.58,11.81,Card,Fog,Medium,8.1,1
TRIP-00211,2024-09-11,3,Metro,Suburb,9.98,62.5,2,8.24,1.51,9.75,Cash,Fog,High,3.7,0
